Fund Holdings as of,"06/Aug/2026"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"DKK","DKK CASH","Cash and/or Derivatives","Cash","564,487.71","0.08","564,487.71","4,219,886.00","13.38","Denmark","-","DKK"
"LOTB","LOTUS BAKERIES NV","Consumer Staples","Equity","526,240.00","0.08","526,240.00","46.00","11,440.00","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"COLO B","COLOPLAST B","Health Care","Equity","516,180.66","0.08","516,180.66","9,056.00","57.00","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"CSG","CSG CLASS A NV","Industrials","Equity","487,593.30","0.07","487,593.30","25,319.00","19.26","Netherlands","Euronext Amsterdam","EUR"
"SEK","SEK CASH","Cash and/or Derivatives","Cash","422,813.30","0.06","422,813.30","4,628,563.00","9.13","Sweden","-","SEK"
"BKW","BKW N AG","Utilities","Equity","364,174.93","0.05","364,174.93","2,563.00","142.09","Switzerland","SIX Swiss Exchange","CHF"
"BZU","BUZZI","Materials","Equity","352,204.71","0.05","352,204.71","8,493.00","41.47","Italy","Borsa Italiana","EUR"
"RED","REDEIA CORPORACION SA","Utilities","Equity","306,249.90","0.05","306,249.90","19,822.00","15.45","Spain","Bolsa De Madrid","EUR"
"BZFUT","CASH COLLATERAL EUR BZFUT","Cash and/or Derivatives","Cash Collateral and Margins","119,860.00","0.02","119,860.00","119,860.00","100.00","European Union","-","EUR"
"USD","USD CASH","Cash and/or Derivatives","Cash","111,526.66","0.02","111,526.66","128,646.00","86.69","United States","-","USD"
"NOK","NOK CASH","Cash and/or Derivatives","Cash","86,614.77","0.01","86,614.77","953,328.00","9.09","Norway","-","NOK"
"CHF","CHF/EUR","Cash and/or Derivatives","FX","5,690.33","0.00","5,690.33","-1,870,164.00","1.00","European Union","-","EUR"
"NOK","NOK/EUR","Cash and/or Derivatives","FX","73.51","0.00","73.51","-563,744.00","1.00","European Union","-","EUR"
"SEK","SEK/EUR","Cash and/or Derivatives","FX","12.01","0.00","12.01","-4,313,748.00","1.00","European Union","-","EUR"
"DKK","DKK/EUR","Cash and/or Derivatives","FX","17.77","0.00","17.77","-1,766,169.00","1.00","European Union","-","EUR"
"VHU6","STOXX 50 SEP 26","Cash and/or Derivatives","Futures","0.00","0.00","1,657,500.00","30.00","5,525.00","European Union","Eurex Deutschland","EUR"
"USD","USD/EUR","Cash and/or Derivatives","FX","-125.86","0.00","-125.86","-85,918.00","1.00","European Union","-","EUR"
"GBP","GBP/EUR","Cash and/or Derivatives","FX","-1,718.86","0.00","-1,718.86","-1,991,081.00","1.00","European Union","-","EUR"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","-4,305,101.62","-0.63","-4,305,101.62","-4,305,102.00","100.00","European Union","-","EUR"

